window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,0,0,0,0,0,198,0
1000,6,6,46.4425,97.0878,1,47,0
1000,9,9,42.8901,98.278,2,0,0
1000,8,8,41.4233,84.6546,2,0,0
1000,8,8,50.2159,95.1233,2,0,0
1000,8,8,41.744,88.6833,1,0,0
1000,9,9,49.2617,96.3676,2,0,0
1000,8,8,39.2553,82.8798,2,0,0
1000,8,8,57.7221,100.638,1,0,0
1000,8,8,39.4829,77.8353,2,0,0
1000,9,9,45.8535,89.3533,2,0,0
1000,8,8,47.0978,93.8956,2,0,0
1000,8,8,53.3459,89.6663,1,0,0
1000,8,8,47.6542,95.7483,2,0,0
1000,9,9,41.5874,84.8299,2,0,0
1000,8,8,43.5121,89.6703,2,0,0
1000,8,8,51.6425,94.3624,1,0,0
1000,9,9,46.5619,93.6283,2,0,0
1000,8,8,32.9053,79.2082,2,0,0
1000,8,8,49.9016,90.4168,2,0,0
1000,8,8,44.8934,81.6395,1,0,0
1000,9,9,42.6967,86.8907,2,0,0
1000,8,8,52.9644,100.663,2,0,0
1000,8,8,48.3664,89.6103,2,0,0
1000,8,8,55.2309,99.1674,1,0,0
1000,9,9,43.016,86.3264,2,0,0
1000,8,8,33.2821,82.748,2,0,0
1000,8,8,52.4514,99.4325,2,0,0
1000,8,8,44.0686,80.9809,1,0,0
1000,9,9,40.6241,85.322,2,0,0
1000,8,8,49.997,95.1028,2,0,0
1000,8,8,44.6354,85.7315,2,0,0
1000,8,8,49.1914,88.7159,1,0,0
1000,9,9,47.3125,102.223,2,0,0
1000,2,2,43.2946,82.9882,1,0,0
