window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,1,1,5.04511,5.04511,0,196,0
1000,15,15,2.8835,32.2212,0,0,0
1000,15,15,0.553844,1.07325,0,0,0
1000,15,15,0.587989,1.05255,0,0,0
1000,15,15,0.667431,1.12321,0,0,0
1000,15,15,0.60352,1.16209,0,0,0
1000,15,15,0.52123,1.11422,0,0,0
1000,15,15,0.541272,1.13415,0,0,0
1000,15,15,0.754423,1.18078,0,0,0
1000,15,15,0.514393,1.16558,0,0,0
1000,15,15,0.790744,1.32395,0,0,0
1000,14,14,0.666666,1.14209,0,0,0
1000,15,15,0.726548,1.1019,0,0,0
1000,15,15,0.81061,1.09668,0,0,0
1000,15,15,0.754132,1.10126,0,0,0
1000,15,15,0.681957,1.14458,0,0,0
1000,15,15,0.675928,1.13566,0,0,0
1000,15,15,0.777369,1.10855,0,0,0
1000,15,15,0.686478,1.15604,0,0,0
1000,15,15,0.820883,1.11038,0,0,0
1000,15,15,0.618699,1.16667,0,0,0
1000,9,9,0.668201,1.07703,0,0,0
