window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,0,0,0,0,0,198,0
1000,14,14,3.57094,10.6869,0,17,0
1000,15,15,3.99836,5.31926,0,0,0
1000,15,15,3.38561,5.05522,0,0,0
1000,15,15,3.33281,3.89631,0,0,0
1000,15,15,3.38938,4.16003,0,0,0
1000,15,15,3.96511,5.28832,0,0,0
1000,15,15,4.21366,7.2114,0,0,0
1000,15,15,3.66654,6.40386,0,0,0
1000,15,15,3.42109,3.82454,0,0,0
1000,15,15,3.69216,6.21394,0,0,0
1000,15,15,3.45062,10.6217,0,0,0
1000,15,15,3.13304,6.09493,0,0,0
1000,15,15,2.85542,4.90316,0,0,0
1000,15,15,2.88108,3.33406,0,0,0
1000,15,15,2.91242,4.26209,0,0,0
1000,14,14,3.16959,4.89333,0,0,0
1000,15,15,3.41461,6.60611,0,0,0
1000,15,15,3.18055,4.2218,0,0,0
1000,15,15,2.81709,3.42965,0,0,0
1000,15,15,3.00764,3.81772,0,0,0
1000,15,15,3.23572,4.09261,0,0,0
1000,15,15,3.4496,5.38086,0,0,0
1000,15,15,2.97621,3.84659,0,0,0
1000,15,15,3.35293,5.54237,0,0,0
1000,15,15,3.35932,6.71328,0,0,0
1000,15,15,4.1359,16.989,0,0,0
1000,15,15,3.51249,6.69024,0,0,0
1000,10,10,2.82468,3.52245,0,0,0
